,Patterns,percent_ann_xlnet_wind.pkl,percent_nes_xlnet_wind.pkl
2,NON_PATTERN_F1,100.0,100.0
5,ADJ_NOUN_F1,102.82,100.65
8,NOUN_NOUN_F1,124.91,111.76
11,ADJ_ADJ_NOUN_F1,99.61,99.76
14,ADJ_NOUN_NOUN_F1,102.13,100.96
17,NOUN_ADJ_NOUN_F1,99.87,99.9
20,NOUN_NOUN_NOUN_F1,102.6,100.27
23,NOUN_ADP_NOUN_F1,97.79,97.88
26,NOUN_ADP_ADJ_NOUN_F1,99.09,99.21
29,ADJ_NOUN_ADP_NOUN_F1,99.18,99.76
32,NOUN_ADP_NOUN_NOUN_F1,98.96,99.15
35,ADJ_NOUN_ADP_ADJ_NOUN_F1,99.83,99.9
38,ADV_ADJ_NOUN_F1,99.48,99.66
41,NOUN_PRON_F1,98.44,99.01
44,ADJ_NOUN_ADJ_NOUN_F1,100.0,100.0
