,ann_xlnet_htfl.pkl,ann_xlnet_wind.pkl,ann_xlnet_equi.pkl,ann_xlnet_corp.pkl,nes_xlnet_htfl.pkl,nes_xlnet_wind.pkl,nes_xlnet_equi.pkl,nes_xlnet_corp.pkl
NON_PATTERN_P,40.09,19.87,38.89,38.61,45.16,27.88,47.91,42.5
NON_PATTERN_R,23.38,27.41,62.25,59.22,34.82,30.77,53.08,52.69
NON_PATTERN_F1,29.54,23.04,47.87,46.74,39.32,29.25,50.36,47.05
ADJ_NOUN_P,37.48,19.4,33.1,35.39,42.92,26.79,40.23,39.93
ADJ_NOUN_R,26.81,30.43,64.68,63.75,38.84,32.66,55.17,58.99
ADJ_NOUN_F1,31.26,23.69,43.79,45.51,40.78,29.44,46.53,47.62
NOUN_NOUN_P,31.48,21.23,31.89,30.98,35.94,26.79,39.32,34.87
NOUN_NOUN_R,31.6,44.64,68.31,64.51,42.44,41.92,58.1,58.14
NOUN_NOUN_F1,31.54,28.78,43.48,41.86,38.92,32.69,46.9,43.59
ADJ_ADJ_NOUN_P,39.8,19.74,38.22,38.08,45.0,27.75,47.13,42.04
ADJ_ADJ_NOUN_R,24.06,27.41,62.25,59.44,35.55,30.77,53.08,52.94
ADJ_ADJ_NOUN_F1,29.99,22.95,47.36,46.42,39.72,29.18,49.93,46.86
ADJ_NOUN_NOUN_P,38.8,20.03,38.35,38.25,43.78,27.85,47.15,42.14
ADJ_NOUN_NOUN_R,24.14,28.51,62.42,59.33,35.13,31.42,53.14,52.77
ADJ_NOUN_NOUN_F1,29.76,23.53,47.51,46.51,38.98,29.53,49.97,46.86
NOUN_ADJ_NOUN_P,39.8,19.78,38.59,38.26,44.84,27.77,47.55,42.1
NOUN_ADJ_NOUN_R,23.55,27.5,62.25,59.22,34.93,30.83,53.08,52.69
NOUN_ADJ_NOUN_F1,29.59,23.01,47.64,46.49,39.27,29.22,50.16,46.8
NOUN_NOUN_NOUN_P,38.9,20.01,38.55,38.43,44.34,27.55,47.5,42.18
NOUN_NOUN_NOUN_R,23.68,28.87,62.25,59.33,35.28,31.36,53.14,52.86
NOUN_NOUN_NOUN_F1,29.44,23.64,47.61,46.65,39.29,29.33,50.16,46.92
NOUN_ADP_NOUN_P,36.77,18.99,36.16,35.35,41.77,26.67,44.28,39.24
NOUN_ADP_NOUN_R,23.42,27.68,62.42,59.22,34.85,30.9,53.33,53.62
NOUN_ADP_NOUN_F1,28.61,22.53,45.79,44.27,38.0,28.63,48.39,45.32
NOUN_ADP_ADJ_NOUN_P,39.26,19.56,38.16,37.57,44.23,27.46,46.94,41.18
NOUN_ADP_ADJ_NOUN_R,23.38,27.41,62.25,59.33,34.82,30.77,53.08,52.77
NOUN_ADP_ADJ_NOUN_F1,29.31,22.83,47.32,46.01,38.96,29.02,49.82,46.26
ADJ_NOUN_ADP_NOUN_P,39.29,19.59,38.7,38.1,44.38,27.69,47.5,41.96
ADJ_NOUN_ADP_NOUN_R,23.38,27.41,62.25,59.22,34.82,30.83,53.08,52.69
ADJ_NOUN_ADP_NOUN_F1,29.32,22.85,47.73,46.37,39.02,29.18,50.14,46.72
NOUN_ADP_NOUN_NOUN_P,38.9,19.52,38.53,37.99,43.95,27.43,47.39,41.81
NOUN_ADP_NOUN_NOUN_R,23.38,27.41,62.25,59.22,34.82,30.77,53.08,52.69
NOUN_ADP_NOUN_NOUN_F1,29.21,22.8,47.6,46.29,38.86,29.0,50.07,46.62
ADJ_NOUN_ADP_ADJ_NOUN_P,39.86,19.81,38.82,38.45,44.84,27.81,47.72,42.24
ADJ_NOUN_ADP_ADJ_NOUN_R,23.38,27.41,62.25,59.22,34.82,30.77,53.08,52.69
ADJ_NOUN_ADP_ADJ_NOUN_F1,29.47,23.0,47.82,46.63,39.2,29.22,50.26,46.89
ADV_ADJ_NOUN_P,39.86,19.7,38.33,38.31,44.89,27.7,47.05,42.18
ADV_ADJ_NOUN_R,23.38,27.41,62.25,59.22,34.82,30.77,53.08,52.69
ADV_ADJ_NOUN_F1,29.47,22.92,47.45,46.52,39.22,29.15,49.88,46.85
NOUN_PRON_P,39.34,19.34,38.5,38.3,44.61,27.36,47.53,42.39
NOUN_PRON_R,23.59,27.41,62.34,59.33,35.09,30.77,53.14,52.69
NOUN_PRON_F1,29.49,22.68,47.6,46.55,39.28,28.96,50.18,46.98
ADJ_NOUN_ADJ_NOUN_P,40.09,19.87,38.86,38.53,45.14,27.88,47.88,42.5
ADJ_NOUN_ADJ_NOUN_R,23.38,27.41,62.25,59.22,34.82,30.77,53.08,52.69
ADJ_NOUN_ADJ_NOUN_F1,29.54,23.04,47.85,46.69,39.31,29.25,50.35,47.05
