,Patterns,percent_ann_xlnet_htfl.pkl,percent_ann_xlnet_wind.pkl,percent_ann_xlnet_equi.pkl,percent_ann_xlnet_corp.pkl,percent_nes_xlnet_htfl.pkl,percent_nes_xlnet_wind.pkl,percent_nes_xlnet_equi.pkl,percent_nes_xlnet_corp.pkl
2,NON_PATTERN_F1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,ADJ_NOUN_F1,105.82,102.82,91.48,97.37,103.71,100.65,92.39,101.21
8,NOUN_NOUN_F1,106.77,124.91,90.83,89.56,98.98,111.76,93.13,92.65
11,ADJ_ADJ_NOUN_F1,101.52,99.61,98.93,99.32,101.02,99.76,99.15,99.6
14,ADJ_NOUN_NOUN_F1,100.74,102.13,99.25,99.51,99.14,100.96,99.23,99.6
17,NOUN_ADJ_NOUN_F1,100.17,99.87,99.52,99.47,99.87,99.9,99.6,99.47
20,NOUN_NOUN_NOUN_F1,99.66,102.6,99.46,99.81,99.92,100.27,99.6,99.72
23,NOUN_ADP_NOUN_F1,96.85,97.79,95.65,94.72,96.64,97.88,96.09,96.32
26,NOUN_ADP_ADJ_NOUN_F1,99.22,99.09,98.85,98.44,99.08,99.21,98.93,98.32
29,ADJ_NOUN_ADP_NOUN_F1,99.26,99.18,99.71,99.21,99.24,99.76,99.56,99.3
32,NOUN_ADP_NOUN_NOUN_F1,98.88,98.96,99.44,99.04,98.83,99.15,99.42,99.09
35,ADJ_NOUN_ADP_ADJ_NOUN_F1,99.76,99.83,99.9,99.76,99.69,99.9,99.8,99.66
38,ADV_ADJ_NOUN_F1,99.76,99.48,99.12,99.53,99.75,99.66,99.05,99.57
41,NOUN_PRON_F1,99.83,98.44,99.44,99.59,99.9,99.01,99.64,99.85
44,ADJ_NOUN_ADJ_NOUN_F1,100.0,100.0,99.96,99.89,99.97,100.0,99.98,100.0
