,ann_xlnet_htfl.pkl,ann_xlnet_wind.pkl,ann_xlnet_equi.pkl,ann_xlnet_corp.pkl,nes_xlnet_htfl.pkl,nes_xlnet_wind.pkl,nes_xlnet_equi.pkl,nes_xlnet_corp.pkl
NON_PATTERN_F1,36.76,43.32,34.81,49.33,40.63,44.64,40.62,47.13
ADJ_NOUN_F1,38.47,42.5,33.63,47.94,41.64,44.16,39.64,46.87
NOUN_NOUN_F1,35.49,35.67,32.74,44.0,39.48,39.63,38.51,43.13
ADJ_ADJ_NOUN_F1,37.13,43.09,34.68,48.89,40.85,44.33,40.52,46.69
ADJ_NOUN_NOUN_F1,36.52,42.87,34.6,49.02,40.5,44.08,40.39,46.86
NOUN_ADJ_NOUN_F1,36.8,43.01,34.74,49.04,40.61,44.33,40.52,46.92
NOUN_NOUN_NOUN_F1,36.74,43.08,34.73,49.13,40.76,44.33,40.57,47.01
NOUN_ADP_NOUN_F1,35.69,41.68,34.05,47.18,39.53,43.38,39.81,45.35
NOUN_ADP_ADJ_NOUN_F1,36.43,42.63,34.61,48.61,40.32,44.06,40.4,46.52
ADJ_NOUN_ADP_NOUN_F1,36.5,42.96,34.81,48.78,40.42,44.45,40.58,46.75
NOUN_ADP_NOUN_NOUN_F1,36.43,42.69,34.68,48.8,40.32,44.12,40.53,46.7
ADJ_NOUN_ADP_ADJ_NOUN_F1,36.67,43.17,34.78,49.24,40.57,44.5,40.58,47.08
ADV_ADJ_NOUN_F1,36.64,43.04,34.64,49.11,40.56,44.42,40.36,46.97
NOUN_PRON_F1,36.84,42.59,34.6,49.22,40.71,44.17,40.5,47.04
ADJ_NOUN_ADJ_NOUN_F1,36.75,43.31,34.8,49.31,40.65,44.61,40.61,47.11
