,ann_xlnet_htfl.pkl,ann_xlnet_wind.pkl,ann_xlnet_equi.pkl,ann_xlnet_corp.pkl,nes_xlnet_htfl.pkl,nes_xlnet_wind.pkl,nes_xlnet_equi.pkl,nes_xlnet_corp.pkl
NON_PATTERN_F1,35.34,43.96,50.23,49.55,39.94,45.76,50.62,49.7
ADJ_NOUN_F1,37.23,43.18,45.24,48.27,41.0,44.93,46.51,49.07
NOUN_NOUN_F1,34.59,36.37,44.79,43.58,38.11,39.81,46.48,44.77
ADJ_ADJ_NOUN_F1,35.83,43.65,49.65,48.89,40.23,45.57,50.19,49.38
ADJ_NOUN_NOUN_F1,35.2,43.25,49.74,49.27,39.74,45.42,50.31,49.49
NOUN_ADJ_NOUN_F1,35.37,43.64,49.91,49.17,39.88,45.5,50.36,49.45
NOUN_NOUN_NOUN_F1,35.41,43.3,49.87,49.24,39.89,45.29,50.41,49.48
NOUN_ADP_NOUN_F1,34.25,42.02,47.85,46.66,38.85,44.64,48.43,47.48
NOUN_ADP_ADJ_NOUN_F1,34.97,43.19,49.57,48.65,39.62,45.28,50.1,49.03
ADJ_NOUN_ADP_NOUN_F1,35.08,43.58,49.95,48.96,39.74,45.57,50.29,49.37
NOUN_ADP_NOUN_NOUN_F1,34.96,43.33,49.95,48.89,39.61,45.37,50.36,49.37
ADJ_NOUN_ADP_ADJ_NOUN_F1,35.22,43.8,50.12,49.44,39.89,45.71,50.58,49.52
ADV_ADJ_NOUN_F1,35.25,43.67,49.67,49.33,39.89,45.53,50.19,49.51
NOUN_PRON_F1,35.4,43.22,49.79,49.44,40.04,45.23,50.48,49.63
ADJ_NOUN_ADJ_NOUN_F1,35.34,43.93,50.21,49.5,39.98,45.76,50.61,49.7
