,ann_xlnet_htfl.pkl,ann_xlnet_wind.pkl,ann_xlnet_equi.pkl,ann_xlnet_corp.pkl,nes_xlnet_htfl.pkl,nes_xlnet_wind.pkl,nes_xlnet_equi.pkl,nes_xlnet_corp.pkl
NON_PATTERN_F1,30.92,45.98,50.76,10.69,36.71,44.77,53.11,20.2
ADJ_NOUN_F1,32.86,44.87,46.11,12.15,38.56,44.16,48.85,20.27
NOUN_NOUN_F1,32.1,37.15,45.7,11.26,36.49,38.96,48.37,18.6
ADJ_ADJ_NOUN_F1,31.45,45.72,50.1,10.68,37.11,44.59,52.54,20.2
ADJ_NOUN_NOUN_F1,31.08,45.42,50.15,11.0,36.63,44.29,52.68,20.36
NOUN_ADJ_NOUN_F1,31.0,45.44,50.44,10.67,36.74,44.47,52.83,20.2
NOUN_NOUN_NOUN_F1,30.85,45.37,50.44,10.98,36.66,44.39,52.94,20.27
NOUN_ADP_NOUN_F1,30.09,44.14,48.18,10.68,35.68,43.46,50.83,19.93
NOUN_ADP_ADJ_NOUN_F1,30.66,45.31,50.13,10.59,36.32,44.23,52.49,20.08
ADJ_NOUN_ADP_NOUN_F1,30.76,45.71,50.47,10.66,36.43,44.65,52.78,20.19
NOUN_ADP_NOUN_NOUN_F1,30.63,45.5,50.45,10.66,36.35,44.34,52.76,20.15
ADJ_NOUN_ADP_ADJ_NOUN_F1,30.84,45.87,50.63,10.65,36.58,44.66,53.04,20.15
ADV_ADJ_NOUN_F1,30.88,45.66,50.15,10.67,36.64,44.52,52.57,20.18
NOUN_PRON_F1,31.0,45.13,50.36,10.64,36.76,44.3,52.99,20.17
ADJ_NOUN_ADJ_NOUN_F1,30.92,45.94,50.74,10.68,36.7,44.76,53.09,20.19
