,Patterns,percent_ann_xlnet_htfl.pkl,percent_ann_xlnet_wind.pkl,percent_ann_xlnet_equi.pkl,percent_ann_xlnet_corp.pkl,percent_nes_xlnet_htfl.pkl,percent_nes_xlnet_wind.pkl,percent_nes_xlnet_equi.pkl,percent_nes_xlnet_corp.pkl
0,NON_PATTERN_F1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,ADJ_NOUN_F1,106.27,97.59,90.84,113.66,105.04,98.64,91.98,100.35
2,NOUN_NOUN_F1,103.82,80.8,90.03,105.33,99.4,87.02,91.08,92.08
3,ADJ_ADJ_NOUN_F1,101.71,99.43,98.7,99.91,101.09,99.6,98.93,100.0
4,ADJ_NOUN_NOUN_F1,100.52,98.78,98.8,102.9,99.78,98.93,99.19,100.79
5,NOUN_ADJ_NOUN_F1,100.26,98.83,99.37,99.81,100.08,99.33,99.47,100.0
6,NOUN_NOUN_NOUN_F1,99.77,98.67,99.37,102.71,99.86,99.15,99.68,100.35
7,NOUN_ADP_NOUN_F1,97.32,96.0,94.92,99.91,97.19,97.07,95.71,98.66
8,NOUN_ADP_ADJ_NOUN_F1,99.16,98.54,98.76,99.06,98.94,98.79,98.83,99.41
9,ADJ_NOUN_ADP_NOUN_F1,99.48,99.41,99.43,99.72,99.24,99.73,99.38,99.95
10,NOUN_ADP_NOUN_NOUN_F1,99.06,98.96,99.39,99.72,99.02,99.04,99.34,99.75
11,ADJ_NOUN_ADP_ADJ_NOUN_F1,99.74,99.76,99.74,99.63,99.65,99.75,99.87,99.75
12,ADV_ADJ_NOUN_F1,99.87,99.3,98.8,99.81,99.81,99.44,98.98,99.9
13,NOUN_PRON_F1,100.26,98.15,99.21,99.53,100.14,98.95,99.77,99.85
14,ADJ_NOUN_ADJ_NOUN_F1,100.0,99.91,99.96,99.91,99.97,99.98,99.96,99.95
