sentence_id,words,labels
0,report,B
0,from,O
0,the,O
0,commission,B
0,to,O
0,the,O
0,council,B
0,on,O
0,the,O
0,modalities,O
0,of,O
0,european,B
0,union,I
0,participation,O
0,in,O
0,the,O
0,council,O
0,of,O
0,europe,B
0,group,B
0,of,O
0,states,O
0,against,O
0,corruption,O
0,(,O
0,greco,B
0,),O
1,on,O
1,the,O
1,modalities,O
1,of,O
1,european,B
1,union,I
1,participation,O
1,in,O
1,the,O
1,council,B
1,of,O
1,europe,B
1,group,B
1,of,O
1,states,O
1,against,O
1,corruption,O
1,(,O
1,greco,B
1,),O
2,as,O
2,called,O
2,for,O
2,by,O
2,the,O
2,stockholm,B
2,programme,I
2,",",O
2,the,O
2,commission,B
2,submits,O
2,to,O
2,the,O
2,council,B
2,this,O
2,report,B
2,on,O
2,the,O
2,modalities,O
2,for,O
2,the,O
2,european,B
2,union,I
2,to,O
2,accede,O
2,to,O
2,the,O
2,council,O
2,of,O
2,europe,B
2,group,B
2,of,O
2,states,O
2,against,O
2,corruption,O
2,(,O
2,greco,B
2,),O
2,.,O
3,greco,B
3,is,O
3,the,O
3,most,O
3,inclusive,O
3,existing,O
3,anti,O
3,-,O
3,corruption,B
3,monitoring,B
3,mechanism,I
3,at,O
3,european,O
3,level,O
3,",",O
3,with,O
3,participation,O
3,of,O
3,all,O
3,eu,B
3,member,O
3,states,O
3,.,O
4,greco,B
4,has,O
4,had,O
4,an,O
4,important,O
4,role,O
4,in,O
4,setting,O
4,certain,O
4,minimum,O
4,european,O
4,standards,O
4,for,O
4,a,O
4,legal,B
4,and,O
4,institutional,O
4,framework,O
4,to,O
4,combat,B
4,corruption,B
4,.,O
5,yet,O
5,corruption,B
5,still,O
5,poses,O
5,serious,O
5,problems,O
5,in,O
5,some,O
5,member,O
5,states,O
5,and,O
5,effective,O
5,results,O
5,are,O
5,not,O
5,achieved,O
5,consistently,O
5,across,O
5,the,O
5,eu,B
5,.,O
6,this,O
6,reinforces,O
6,the,O
6,commission,B
6,'s,O
6,belief,O
6,that,O
6,political,B
6,engagement,O
6,to,O
6,fight,B
6,corruption,I
6,remains,O
6,uneven,O
6,across,O
6,the,O
6,eu,B
6,.,O
7,the,O
7,communication,O
7,on,O
7,an,O
7,eu,B
7,policy,B
7,against,I
7,corruption,I
7,recommends,O
7,eu,O
7,participation,O
7,in,O
7,greco,B
7,",",O
7,together,O
7,with,O
7,the,O
7,establishment,O
7,of,O
7,an,O
7,eu,O
7,anti,O
7,-,O
7,corruption,O
7,reporting,B
7,mechanism,I
7,.,O
8,this,O
8,should,O
8,provide,O
8,the,O
8,potential,O
8,to,O
8,stimulate,O
8,political,B
8,will,O
8,among,O
8,member,O
8,states,O
8,and,O
8,render,O
8,the,O
8,existing,O
8,legal,B
8,and,O
8,institutional,O
8,framework,O
8,more,O
8,effective,O
8,.,O
9,this,O
9,report,B
9,defines,O
9,the,O
9,main,O
9,objectives,O
9,of,O
9,reinforced,O
9,cooperation,O
9,between,O
9,the,O
9,eu,B
9,and,O
9,greco,B
9,and,O
9,analyses,O
9,possible,O
9,ways,O
9,and,O
9,benefits,O
9,for,O
9,eu,O
9,'s,O
9,participating,O
9,in,O
9,the,O
9,work,O
9,of,O
9,greco,O
9,.,O
10,role,O
10,and,O
10,functioning,O
10,of,O
10,greco,B
11,greco,B
11,was,O
11,set,O
11,up,O
11,in,O
11,1999,O
11,by,O
11,the,O
11,council,B
11,of,I
11,europe,B
11,",",O
11,to,O
11,',O
11,improve,O
11,the,O
11,capacity,O
11,of,O
11,its,O
11,members,O
11,to,O
11,fight,B
11,corruption,I
11,by,O
11,following,O
11,up,O
11,",",O
11,through,O
11,a,O
11,dynamic,O
11,process,O
11,of,O
11,mutual,O
11,evaluation,O
11,and,O
11,peer,O
11,pressure,O
11,",",O
11,compliance,B
11,with,O
11,their,O
