sentence_id,words,labels
0,convention,O
0,des,O
0,nations,B
0,unies,I
0,contre,O
0,la,O
0,corruption,B
1,la,O
1,présente,O
1,décision,B
1,autorise,O
1,le,O
1,président,O
1,du,O
1,conseil,B
1,à,O
1,désigner,O
1,les,O
1,personnes,O
1,qui,O
1,peuvent,O
1,signer,O
1,",",O
1,au,O
1,nom,O
1,de,O
1,la,O
1,communauté,B
1,européenne,I
1,",",O
1,la,O
1,convention,B
1,des,I
1,nations,B
1,unies,I
1,contre,I
1,la,O
1,corruption,B
1,.,O
2,la,O
2,convention,O
2,vise,O
2,à,O
2,renforcer,O
2,l',O
2,efficacité,O
2,de,O
2,la,O
2,lutte,B
2,contre,I
2,la,O
2,corruption,O
2,",",O
2,à,O
2,promouvoir,O
2,une,O
2,bonne,O
2,gestion,O
2,des,O
2,affaires,B
2,publiques,B
2,et,O
2,à,O
2,encourager,O
2,la,O
2,coopération,O
2,internationale,O
2,et,O
2,l',O
2,assistance,O
2,technique,O
2,dans,O
2,ce,B
2,domaine,O
2,.,O
3,décision,B
3,du,O
3,conseil,B
3,concernant,O
3,la,O
3,signature,O
3,de,O
3,la,O
3,convention,B
3,des,I
3,nations,B
3,unies,I
3,contre,I
3,la,O
3,corruption,B
3,au,O
3,nom,O
3,de,O
3,la,O
3,communauté,B
3,européenne,I
3,.,O
4,lors,O
4,de,O
4,la,O
4,conférence,O
4,de,O
4,mérida,B
4,(,O
4,mexique,B
4,),O
4,des,O
4,9,O
4,et,O
4,11,O
4,décembre,O
4,2003,O
4,",",O
4,la,O
4,convention,B
4,des,O
4,nations,B
4,unies,I
4,contre,I
4,la,O
4,corruption,B
4,a,O
4,été,O
4,ouverte,O
4,à,O
4,la,O
4,signature,O
4,.,O
5,le,O
5,conseil,B
5,a,O
5,adopté,O
5,le,O
5,10,O
5,mai,O
5,2005,O
5,lors,O
5,de,O
5,sa,O
5,2658e,O
5,session,O
5,la,O
5,proposition,O
5,de,O
5,la,O
5,commission,B
5,concernant,O
5,la,O
5,signature,O
5,de,O
5,la,O
5,convention,B
5,des,I
5,nations,B
5,unies,I
5,contre,I
5,la,O
5,corruption,B
5,.,O
6,la,O
6,décision,B
6,autorise,O
6,le,O
6,président,O
6,du,O
6,conseil,B
6,à,O
6,désigner,O
6,les,O
6,personnes,O
6,habilitées,O
6,à,O
6,signer,O
6,",",O
6,au,O
6,nom,O
6,des,O
6,communautés,O
6,",",O
6,la,O
6,convention,O
6,des,O
6,nations,B
6,unies,I
6,.,O
7,le,O
7,15,O
7,septembre,O
7,2005,O
7,",",O
7,la,O
7,commission,B
7,européenne,I
7,et,O
7,la,O
7,présidence,O
7,de,O
7,l',O
7,ue,B
