,mw,0.7915242483185391,214,piaffe	0.7907082773487516	85,states	1.0	971
0,s,0.7813062694109923,173.0,,
1,j.,0.7738077643336998,148.0,,
2,hawt,0.7707936317531038,139.0,,
3,e.g.,0.7690336213150807,134.0,,
4,pscad,0.7668327978049295,128.0,,
5,m.,0.7645262951104432,122.0,,
6,wecs,0.7629247164037941,118.0,,
7,/s,0.7625158380886778,117.0,,
8,deis,0.759551899379512,110.0,,
9,no.,0.7591131482749736,109.0,,
10,means,0.7577723288223178,106.0,,
11,a.,0.7554509636645916,101.0,,
12,pp.,0.7499110948083897,90.0,,
13,m/,0.7482823655432105,87.0,,
14,w,0.7471650381599229,85.0,,
15,c.,0.7465964763521452,84.0,,
16,ϕ,0.7460211052591118,83.0,,
17,states,0.7454387598012496,82.0,,
18,s.,0.7454387598012496,82.0,,
19,f1,0.7454387598012496,82.0,,
20,r,0.7430361135644906,78.0,,
21,p.,0.7424161964209408,77.0,,
22,vawt,0.7424161964209408,77.0,,
23,d.,0.7411518362923158,75.0,,
24,turbines,0.7405069553071858,74.0,,
25,jepirachi,0.7405069553071858,74.0,,
26,dowec,0.7405069553071858,74.0,,
27,mwh,0.7398533001622212,73.0,,
28,ρ,0.739190628800276,72.0,,
29,co2,0.7385186890073114,71.0,,
30,r.,0.7357328122885667,67.0,,
31,habitats,0.7350103488690716,66.0,,
32,dfig,0.7342768550484168,65.0,,
33,u∞,0.7342768550484168,65.0,,
34,lietuvos,0.7335319887784154,64.0,,
35,tco2,0.7288026410190231,58.0,,
36,hyperlink,0.7279670910536921,57.0,,
37,tip-speed,0.7279670910536921,57.0,,
38,fig.,0.7271167518279579,56.0,,
39,g.,0.7262510903529977,55.0,,
40,operating,0.7262510903529977,55.0,,
41,nrel,0.7253695442979493,54.0,,
42,u.s.,0.7253695442979493,54.0,,
43,effects,0.7253695442979493,54.0,,
44,june,0.7235563890403033,52.0,,
45,γ,0.7226234876494827,51.0,,
46,º,0.7226234876494827,51.0,,
47,-scale,0.7216721117681286,50.0,,
48,dr.,0.7216721117681286,50.0,,
49,λ,0.7207015148775002,49.0,,
50,h.,0.7197109042760887,48.0,,
51,upme,0.7197109042760887,48.0,,
52,∞,0.7197109042760887,48.0,,
53,λr,0.7197109042760887,48.0,,
54,°,0.7186994371898521,47.0,,
55,w.,0.7186994371898521,47.0,,
56,t.,0.7186994371898521,47.0,,
57,f,0.7186994371898521,47.0,,
58,®,0.7186994371898521,47.0,,
59,elektrine,0.7176662164641041,46.0,,
60,e.,0.7166102857818755,45.0,,
61,b.,0.7155306243448842,44.0,,
62,headings,0.7132956673256311,42.0,,
63,l.,0.7121379507747354,41.0,,
64,ω,0.7121379507747354,41.0,,
65,impacts,0.7097353045379764,39.0,,
66,reynolds,0.7097353045379764,39.0,,
67,siting,0.7084873665295048,38.0,,
68,n.,0.7084873665295048,38.0,,
69,scig,0.7084873665295048,38.0,,
70,k.,0.7072061462806717,37.0,,
71,˚,0.7072061462806717,37.0,,
72,crediting,0.7045364088095573,35.0,,
73,mr.,0.7045364088095573,35.0,,
74,s809,0.7045364088095573,35.0,,
75,airfoil,0.7029414768810096,237.0,,
76,planning,0.7020721295790472,133.0,,
77,f.,0.7017095398425576,33.0,,
78,repower,0.7002311797519014,32.0,,
79,repowering,0.7002311797519014,32.0,,
80,hswf,0.7002311797519014,32.0,,
81,innova,0.698705879831385,31.0,,
82,leventhall,0.6971305612576882,30.0,,
83,electrolyzer,0.6971305612576882,30.0,,
84,min,0.6971305612576882,30.0,,
85,v.,0.695501831992509,29.0,,
86,ghg,0.695501831992509,29.0,,
87,darrieus,0.695501831992509,29.0,,
88,≤,0.695501831992509,29.0,,
89,vestas,0.6938159428014438,28.0,,
90,inc.,0.6938159428014438,28.0,,
91,vol.,0.6938159428014438,28.0,,
92,oord,0.6938159428014438,28.0,,
93,acm0002,0.6920687352714353,27.0,,
94,micon,0.6920687352714353,27.0,,
95,setbacks,0.6902555800137892,26.0,,
96,kretinga,0.6902555800137892,26.0,,
97,enercon,0.6883713027416144,25.0,,
98,innovawindpower_150kw,0.6883713027416144,25.0,,
99,nw22-150,0.6883713027416144,25.0,,
100,decommissioning,0.6883713027416144,25.0,,
101,alves,0.6883713027416144,25.0,,
102,aiaa,0.6883713027416144,25.0,,
103,sudenai,0.6883713027416144,25.0,,
104,naca,0.6877264217564844,74.0,,
105,zoning,0.6864100952495747,24.0,,
106,netherlands,0.6864100952495747,24.0,,
107,σ,0.6864100952495747,24.0,,
108,-speed,0.6843654074375901,23.0,,
109,eeppm,0.6843654074375901,23.0,,
110,connecting,0.6822298153183703,22.0,,
111,1990,0.6822298153183703,22.0,,
112,¼,0.6822298153183703,22.0,,
113,studies,0.6822298153183703,22.0,,
114,m.d.,0.6822298153183703,22.0,,
115,vibroacoustic,0.6799948582991171,21.0,,
116,-drive,0.6799948582991171,21.0,,
117,afpm,0.6799948582991171,21.0,,
118,ϕopt,0.6799948582991171,21.0,,
119,ψ,0.6799948582991171,21.0,,
120,monopile,0.6776508367335009,20.0,,
121,1st,0.6776508367335009,20.0,,
122,↓,0.6776508367335009,20.0,,
123,-dimensional,0.6776508367335009,20.0,,
124,matlab,0.6776508367335009,20.0,,
125,proc.,0.6751865575029906,19.0,,
126,damping,0.6751865575029906,19.0,,
127,ers,0.6751865575029906,19.0,,
128,aa,0.6751865575029906,19.0,,
129,eesg,0.6751865575029906,19.0,,
130,rfpm,0.6751865575029906,19.0,,
131,nysdec,0.6751865575029906,19.0,,
132,π,0.6751865575029906,19.0,,
133,,0.6751865575029906,19.0,,
134,,0.6751865575029906,19.0,,
135,lendimai,0.6751865575029906,19.0,,
136,blasting,0.6725890107472479,18.0,,
137,modelling,0.6725890107472479,18.0,,
138,chongqing,0.6725890107472479,18.0,,
139,horns,0.6725890107472479,18.0,,
140,m3,0.6698429540987813,17.0,,
141,mccunney,0.6698429540987813,17.0,,
142,gener.,0.6698429540987813,17.0,,
143,direct-drive,0.6698429540987813,17.0,,
144,vejo,0.6698429540987813,17.0,,
145,mm5,0.6669303707253874,16.0,,
146,d.c.,0.6669303707253874,16.0,,
147,sub-step,0.6669303707253874,16.0,,
148,ph.d.,0.6669303707253874,16.0,,
149,www.ietdl.org,0.6669303707253874,16.0,,
150,xplore,0.6669303707253874,16.0,,
151,nysted,0.6669303707253874,16.0,,
152,rodrigues,0.6669303707253874,16.0,,
153,hötker,0.6669303707253874,16.0,,
154,α,0.6669303707253874,16.0,,
155,mammoet,0.6669303707253874,16.0,,
156,streamtube,0.6669303707253874,16.0,,
157,bladesign,0.6669303707253874,16.0,,
158,braking,0.6638297522311742,15.0,,
159,ewea,0.6638297522311742,15.0,,
160,grid-connected,0.6638297522311742,15.0,,
161,awea,0.6638297522311742,15.0,,
162,m2,0.6638297522311742,15.0,,
163,website,0.6638297522311742,15.0,,
164,p.u.,0.6638297522311742,15.0,,
165,tfpm,0.6638297522311742,15.0,,
166,jonkman,0.6638297522311742,15.0,,
167,nedam,0.6638297522311742,15.0,,
168,generating,0.6605151337749298,14.0,,
169,ltd,0.6605151337749298,14.0,,
170,pdd,0.6605151337749298,14.0,,
171,2nd,0.6605151337749298,14.0,,
