sentence_id,words,labels
0,half-pass,B
1,the,O
1,half-pass,B
1,be,O
1,a,O
1,lateral,B
1,movement,B
1,see,O
1,in,O
1,dressage,B
1,",",O
1,in,O
1,which,O
1,the,O
1,horse,B
1,move,O
1,forward,B
1,and,O
1,sideways,B
1,at,O
1,the,O
1,same,O
1,time,O
1,.,O
2,unlike,O
2,the,O
2,easier,O
2,leg-yield,B
2,",",O
2,the,O
2,horse,B
2,be,O
2,bend,B
2,in,O
2,the,O
2,direction,B
2,of,I
2,travel,I
2,",",O
2,slightly,O
2,around,O
2,the,O
2,rider,B
2,'s,O
2,inside,B
2,leg,B
2,.,O
3,the,O
3,outside,B
3,hind,O
3,and,O
3,foreleg,B
3,should,O
3,cross,B
3,over,I
3,the,O
3,inside,B
3,leg,B
3,",",O
3,with,O
3,the,O
3,horse,B
3,'s,O
3,body,O
3,parallel,O
3,to,O
3,the,O
3,arena,B
3,wall,B
3,and,O
3,he,O
3,forehand,B
3,lead,B
3,.,O
4,the,O
4,horse,B
4,should,O
4,remain,O
4,forward,B
4,",",O
4,balanced,B
4,",",O
4,and,O
4,bent,B
4,",",O
4,move,O
4,with,O
4,cadence,B
4,.,O
5,the,O
5,inside,B
5,hind,B
5,leg,I
5,remain,O
5,engage,B
5,throughout,O
5,the,O
5,half-pass,B
5,",",O
5,and,O
5,the,O
5,horse,B
5,should,O
5,not,O
5,lose,O
5,its,O
5,rhythm,B
5,.,O
6,the,O
6,half-pass,B
6,be,O
6,a,O
6,variation,O
6,of,O
6,haunch-in,B
6,traver,O
6,",",O
6,execute,O
6,on,O
6,a,O
6,diagonal,B
6,line,I
6,instead,O
6,of,O
6,along,O
6,the,O
6,wall,B
6,.,O
7,at,O
7,higher,O
7,level,O
7,it,O
7,be,O
7,use,O
7,to,O
7,perform,O
7,a,O
7,counter-change,B
7,of,I
7,hand,I
7,",",O
7,combine,O
7,more,O
7,than,O
7,two,O
7,half-pass,B
7,with,O
7,change,B
7,of,O
7,direction,O
7,in,O
7,a,O
7,zig-zag,O
7,pattern,O
7,.,O
8,the,O
8,half-pass,B
8,versus,O
8,.,O
9,the,O
9,leg-yield,B
10,the,O
10,half-pass,B
10,require,O
10,more,O
10,balance,B
10,",",O
10,engagement,B
10,",",O
10,and,O
10,collection,B
10,from,O
10,a,O
10,horse,B
10,than,O
10,the,O
10,leg-yield,B
10,.,O
11,this,O
11,be,O
11,because,O
11,the,O
11,horse,B
11,be,O
11,slightly,O
11,bent,B
11,in,O
11,the,O
11,direction,B
11,of,I
11,movement,I
11,in,O
11,the,O
11,half-pass,B
11,.,O
12,in,O
12,the,O
12,leg-yield,B
12,",",O
12,the,O
12,horse,B
12,be,O
12,fairly,O
12,straight,B
12,or,O
12,look,O
12,slightly,O
12,away,O
12,from,O
12,the,O
12,direction,B
12,of,I
12,travel,I
12,.,O
13,the,O
13,purpose,O
13,of,O
13,the,O
13,half-pass,B
14,the,O
14,half-pass,B
14,be,O
14,a,O
14,schooling,B
14,movement,B
14,that,O
14,require,O
14,the,O
14,horse,B
14,to,O
14,engage,B
14,the,O
14,hindquarters,B
14,and,O
14,increase,O
14,its,O
14,impulsion,B
14,",",O
14,it,O
14,can,O
14,therefore,O
14,be,O
14,use,O
14,to,O
14,improve,O
14,both,O
14,collection,B
14,or,O
14,impulsion,O
14,.,O
15,the,O
15,half-pass,B
15,be,O
15,commonly,O
15,see,O
15,in,O
15,dressage,B
15,test,B
15,begin,O
15,at,O
15,the,O
15,united,O
15,states,O
15,dressage,O
15,federation,O
15,third,B
15,level,I
15,.,O
16,a,O
16,common,O
16,method,O
16,of,O
16,introduce,O
16,the,O
16,half-pass,B
16,:,O
16,ride,B
16,a,O
16,half,B
16,10-meter,I
16,circle,I
16,",",O
16,and,O
16,half-passing,B
16,from,O
16,the,O
16,centerline,B
16,back,B
16,to,O
16,the,O
16,rail,B
16,.,O
17,in,O
17,half-pass,B
17,the,O
17,horse,B
17,be,O
17,look,O
17,into,O
17,the,O
17,direction,B
17,of,I
17,travel,I
17,",",O
17,bend,B
17,around,O
17,the,O
17,rider,B
17,'s,O
17,inner,B
17,leg,I
17,",",O
17,with,O
17,the,O
17,foreleg,B
17,slightly,O
17,lead,B
17,and,O
17,the,O
17,outside,B
17,leg,O
17,cross,O
17,in,O
17,front,O
