sentence_id,words,labels
0,décision,B
0,ue,O
0,2016/456,O
0,de,O
0,le,O
0,banque,B
0,central,O
0,européen,O
1,relatif,O
1,à,O
1,le,O
1,condition,O
1,et,O
1,modalité,O
1,de,O
1,le,O
1,enquête,O
1,effectuer,O
1,par,O
1,le,O
1,office,O
1,européen,O
1,de,O
1,lutte,B
1,antifraud,B
1,à,O
1,le,O
1,sein,O
1,de,O
1,le,O
1,banque,B
1,central,O
1,européen,O
1,en,O
1,matière,O
1,de,O
1,lutte,O
1,contre,O
1,le,O
1,fraude,O
1,",",O
1,le,O
1,corruption,B
1,et,O
1,tout,O
1,autre,O
1,activité,B
1,illégal,I
1,porter,O
1,atteindre,O
1,à,O
1,le,O
1,intérêt,B
1,financier,B
1,de,O
1,le,O
1,union,O
1,bce/2016/3,O
2,le,O
2,conseil,B
2,de,I
2,le,O
2,gouverneur,O
2,de,O
2,le,O
2,banque,B
2,central,O
2,européen,O
2,",",O
2,voir,O
2,le,O
2,traité,O
2,sur,O
2,le,O
2,fonctionnement,O
2,de,O
2,le,O
2,union,O
2,européen,O
2,",",O
2,voir,O
2,le,O
2,statut,B
2,de,O
2,le,O
2,système,O
2,européen,O
2,de,O
2,banque,O
2,central,O
2,et,O
2,de,O
2,le,O
2,banque,O
2,central,O
2,européen,O
2,",",O
2,et,O
2,notamment,O
2,son,O
2,article,O
2,12.3,O
2,",",O
2,voir,O
2,le,O
2,règlement,B
2,ue,O
2,",",O
2,euratom,O
2,no,O
2,883/2013,O
2,de,O
2,le,O
2,parlement,O
2,européen,O
2,et,O
2,de,O
2,le,O
2,conseil,O
2,de,O
2,le,O
2,11,O
2,septembre,O
2,2013,O
2,relatif,O
2,à,O
2,le,O
2,enquête,O
2,effectuer,O
2,par,O
2,le,O
2,office,O
2,européen,O
2,de,O
2,lutte,B
2,antifraud,B
2,olaf,O
2,et,O
2,abroger,B
2,le,O
2,règlement,O
2,ce,O
2,no,O
2,1073/1999,O
2,de,O
2,le,O
2,parlement,O
2,européen,O
2,et,O
2,de,O
2,le,O
