sentence_id,words,labels
0,le,O
0,épaule-en-dedan,B
0,être,O
0,le,O
0,aspirine,O
0,de,O
0,le,O
0,équitation,B
0,.,O
1,ce,O
1,être,O
1,un,O
1,exercice,B
1,que,O
1,le,O
1,cheval,B
1,voir,O
1,très,O
1,tôt,O
1,dans,O
1,son,O
1,éducation,O
1,et,O
1,qui,O
1,participer,O
1,tout,O
1,son,O
1,vie,O
1,à,O
1,son,O
1,entraînement,B
1,.,O
2,dans,O
2,ce,O
2,exercice,B
2,",",O
2,le,O
2,cheval,B
2,se,O
2,déplacer,O
2,",",O
2,vers,O
2,son,O
2,côté,O
2,convexe,O
2,",",O
2,sur,O
2,un,O
2,ligne,B
2,droit,I
2,.,O
3,le,O
3,attitude,O
3,de,O
3,le,O
3,cheval,B
3,favoriser,O
3,son,O
3,décontraction,B
3,et,O
3,le,O
3,engagement,B
3,de,O
3,le,O
3,postérieur,B
3,interne,B
3,améliorer,O
3,son,O
3,équilibre,B
3,.,O
4,le,O
4,angle,O
4,optimal,O
4,être,O
4,obtenir,O
4,quand,O
4,le,O
4,cheval,B
4,marcher,B
4,sur,O
4,3,O
4,piste,B
4,.,O
5,ainsi,O
5,",",O
5,lors,O
5,de,O
5,un,O
5,épaule-en-dedan,B
5,droit,I
5,comme,O
5,sur,O
5,le,O
5,1er,O
5,exemple,O
5,",",O
5,le,O
5,antérieur,B
5,droit,O
5,trace,O
5,un,O
5,piste,B
5,interne,B
5,",",O
5,le,O
5,antérieur,O
5,gauche,O
5,et,O
5,le,O
5,postérieur,B
5,droite,B
5,être,O
5,sur,O
5,un,O
5,piste,O
5,intermédiaire,O
5,et,O
5,le,O
5,postérieur,O
5,gauche,O
5,sur,O
5,un,O
5,piste,O
5,externe,B
5,.,O
6,le,O
6,aide,B
6,de,O
6,le,O
6,cavalier,B
6,être,O
6,",",O
6,tout,O
6,simplement,O
6,",",O
6,celui,O
6,de,O
6,le,O
6,incurvation,B
6,.,O
7,simplement,O
7,",",O
7,quand,O
7,le,O
7,épaule,B
7,de,O
7,le,O
7,cheval,B
7,être,O
7,sortir,O
7,de,O
7,le,O
7,piste,B
7,",",O
7,le,O
7,jambe,B
7,interne,B
7,",",O
7,le,O
7,poids,O
7,de,O
7,le,O
7,corps,O
7,et,O
7,le,O
7,assiette,B
7,indiquer,O
7,à,O
7,le,O
7,cheval,O
7,le,O
7,changement,B
7,de,O
7,direction,O
7,.,O
8,pour,O
8,préparer,O
8,le,O
8,sortie,O
8,de,O
8,le,O
8,épaule,B
8,",",O
8,il,O
8,être,O
8,plus,O
8,aisé,O
8,de,O
8,se,O
8,mettre,O
8,sur,O
8,un,O
8,volte,B
8,puis,O
8,de,O
8,le,O
8,quitter,O
8,en,O
8,se,O
8,déplacer,O
8,le,O
8,long,O
8,de,O
8,le,O
8,piste,B
8,.,O
9,donc,O
9,",",O
9,pour,O
9,un,O
9,épaule-en-dedan,B
9,droit,I
9,",",O
9,on,O
9,observer,O
9,",",O
9,chez,O
9,le,O
9,cavalier,B
9,",",O
9,le,O
9,rotation,O
9,de,O
9,le,O
9,poignet,B
9,droit,O
9,",",O
9,le,O
9,action,B
9,de,O
9,le,O
9,jambe,B
9,droit,O
9,à,O
9,le,O
9,centre,O
9,.,O
10,le,O
10,jambe,B
10,gauche,I
10,et,O
10,le,O
10,main,B
10,droit,B
10,réguler,O
10,",",O
10,éventuellement,O
10,le,O
10,incurvation,B
10,de,O
10,le,O
10,cheval,B
10,et,O
10,le,O
10,avancée,O
10,de,O
10,le,O
10,épaule,B
10,par,O
10,rapport,O
10,à,O
10,le,O
10,hanche,B
10,.,O
11,le,O
11,poids,O
11,de,O
11,le,O
11,corps,O
11,sur,O
11,le,O
11,étrier,B
11,gauche,I
11,",",O
11,le,O
11,rotation,O
11,de,O
11,le,O
11,buste,B
11,vers,O
11,le,O
11,gauche,O
11,ainsi,O
11,que,O
11,le,O
11,action,B
11,de,O
11,le,O
11,jambe,B
11,droit,I
11,et,O
11,de,O
11,le,O
11,bassin,B
11,en,O
11,cadence,B
11,avec,O
11,le,O
11,postérieur,B
11,droit,O
11,être,O
11,",",O
11,bien,O
11,sûr,O
11,",",O
11,déterminant,O
11,.,O
12,si,O
12,le,O
12,cheval,B
12,débuter,O
12,",",O
12,on,O
12,lui,O
12,demander,O
12,moins,O
12,de,O
12,angle,O
12,.,O
13,il,O
13,pratiquer,O
13,alors,O
13,un,O
13,épaule-en-avant,B
13,sur,O
13,lequel,O
13,le,O
13,membre,O
13,de,O
13,le,O
13,cheval,B
13,dessiner,O
13,4,O
13,piste,B
13,.,O
14,dans,O
14,le,O
14,exemple,O
14,de,O
14,le,O
14,épaule-en-avant,B
14,droit,I
14,",",O
14,on,O
14,avoir,O
14,donc,O
14,:,O
14,un,O
14,piste,B
14,avec,O
14,le,O
14,antérieur,B
14,droit,O
14,",",O
14,un,O
14,seconde,O
14,avec,O
14,le,O
14,postérieur,B
14,droit,O
14,",",O
14,un,O
14,troisième,O
14,avec,O
14,le,O
14,antérieur,O
14,gauche,O
14,et,O
14,un,O
14,quatrième,O
14,avec,O
14,le,O
