sentence_id,words,labels
0,verdrag,O
0,van,O
0,de,O
0,verenigen,B
0,naties,I
0,tegen,O
0,corruptie,B
1,dit,O
1,besluit,B
1,verlenen,O
1,de,O
1,voorzitter,O
1,van,O
1,de,O
1,raad,B
1,volmacht,O
1,om,O
1,de,O
1,persoon,O
1,aan,O
1,te,O
1,duiden,O
1,",",O
1,die,O
1,machtigen,O
1,zijn,O
1,om,O
1,het,O
1,verdrag,B
1,van,O
1,de,O
1,verenigen,O
1,naties,O
1,tegen,O
1,corruptie,O
1,namens,O
1,de,O
1,Europees,O
1,gemeenschap,O
1,te,O
1,ondertekenen,O
1,.,O
2,het,O
2,verdrag,O
2,willen,O
2,de,O
2,doeltreffendheid,O
2,van,O
2,de,O
2,strijd,B
2,tegen,I
2,corruptie,I
2,vergroten,O
2,",",O
2,een,O
2,correct,O
2,beheer,O
2,van,O
2,openbaar,B
2,aangelegenheid,I
2,bevorderen,O
2,en,O
2,internationaal,O
2,samenwerking,O
2,en,O
2,technisch,O
2,bijstand,O
2,aanmoedigen,O
2,.,O
3,besluit,B
4,besluit,B
4,van,I
4,de,I
4,raad,B
4,betreffende,O
4,de,O
4,sluiting,O
4,",",O
4,namens,O
4,de,O
4,Europees,O
4,gemeenschap,O
4,",",O
4,van,O
4,het,O
4,verdrag,B
4,van,O
4,de,O
4,verenigen,O
4,naties,O
4,tegen,O
4,corruptie,O
4,.,O
5,op,O
5,de,O
5,conferentie,O
5,in,O
5,merida,B
5,mexico,B
5,van,I
5,9,O
5,tot,O
5,11,O
5,december,O
5,2003,O
5,worden,O
5,het,O
5,verdrag,B
5,van,O
5,de,O
5,verenigen,O
5,naties,O
5,tegen,O
5,corruptie,O
5,openstellen,O
5,voor,O
5,ondertekening,O
5,.,O
6,op,O
6,zijn,O
6,2658e,O
6,zitting,O
6,op,O
6,10,O
6,mei,O
6,2005,O
6,nemen,O
6,de,O
6,raad,B
6,het,O
6,voorstel,O
6,van,O
6,de,O
6,commissie,B
6,betreffende,O
6,de,O
6,sluiting,O
6,van,O
6,het,O
6,verdrag,O
6,aan,O
6,.,O
7,het,O
7,besluit,B
7,verlenen,O
7,de,O
7,voorzitter,O
7,van,O
7,de,O
7,raad,B
7,volmacht,O
7,om,O
7,de,O
7,persoon,O
7,aan,O
7,te,O
7,duiden,O
7,",",O
7,die,O
7,machtigen,O
7,zijn,O
7,om,O
7,het,O
7,verdrag,B
7,van,O
7,de,O
7,verenigen,O
7,naties,O
7,tegen,O
7,corruptie,O
7,namens,O
7,de,O
7,Europees,O
7,gemeenschap,O
7,te,O
7,ondertekenen,O
7,.,O
8,op,O
8,15,O
8,september,O
8,2005,O
8,onderteken,O
8,de,O
8,Europees,O
8,commissie,B
8,en,O
8,het,O
8,voorzitterschap,O
8,van,O
8,de,O
8,raad,B
8,het,O
8,verdrag,O
8,namens,O
8,de,O
8,Europees,O
8,gemeenschap,O
8,.,O
9,het,O
9,verdrag,B
9,",",O
9,intussen,O
9,het,O
9,verdrag,O
9,van,O
9,merida,B
9,noemen,O
9,",",O
9,worden,O
9,op,O
9,31,O
9,oktober,O
9,2003,O
9,door,O
9,de,O
9,algemeen,B
9,vergadering,I
9,van,O
9,de,O
9,vn,B
9,aannemen,O
9,resolutie,B
9,58/4,O
9,en,O
9,worden,O
9,tot,O
9,9,O
9,december,O
9,2005,O
9,openstellen,O
9,voor,O
9,ondertekening,O
9,.,O
10,opstelling,O
10,van,O
10,een,O
10,doeltreffend,O
10,instrument,O
10,tegen,O
10,corruptie,B
11,in,O
11,december,O
11,2000,O
11,beslissen,O
11,de,O
11,algemeen,B
11,vergadering,I
11,van,O
11,de,O
11,vn,B
11,om,O
11,een,O
11,speciaal,O
11,comité,O
11,op,O
11,te,O
11,richten,O
11,",",O
11,waaraan,O
11,al,O
11,land,O
11,konden,O
11,deelnemen,O
11,",",O
11,voor,O
11,de,O
11,opstelling,O
11,van,O
11,een,O
11,doeltreffend,O
11,internationaal,O
11,rechtsinstrument,B
11,tegen,O
11,corruptie,B
11,resolutie,B
11,55/61,O
11,.,O
12,de,O
12,belang,O
12,van,O
12,de,O
12,Europees,O
12,gemeenschap,O
12,worden,O
12,daarbij,O
12,door,O
12,de,O
12,commissie,B
12,behartigen,O
12,.,O
13,de,O
13,commissie,B
13,zijn,O
13,van,O
13,mening,O
13,dat,O
13,de,O
13,doelstelling,O
13,bereiken,O
13,worden,O
13,",",O
13,die,O
13,door,O
13,de,O
13,raad,B
13,in,O
13,zijn,O
13,onderhandelingsrichtlijn,O
13,worden,O
13,vooropstellen,O
13,.,O
14,het,O
14,verdrag,O
14,voorzien,O
14,een,O
14,hoog,O
14,norm,O
14,aan,O
14,preventief,O
14,en,O
14,technisch,O
14,bijstandsmaatregel,O
14,in,O
14,aangelegenheid,O
14,waarvoor,O
14,de,O
14,gemeenschap,O
14,bevoegd,O
14,zijn,O
14,",",O
14,in,O
14,het,O
14,bijzonder,O
14,met,O
14,betrekking,O
14,tot,O
14,de,O
14,intern,B
14,markt,I
14,.,O
15,dit,O
15,omvatten,O
15,maatregel,O
15,om,O
15,het,O
15,witwasse,B
15,van,I
15,geld,I
15,te,O
15,voorkomen,O
15,en,O
15,te,O
15,bestrijden,O
15,",",O
15,alsook,O
15,standaard,B
15,voor,I
15,boekhouding,I
15,in,O
15,de,O
15,privésector,B
15,en,O
15,transparantie,B
15,en,O
15,de,O
15,gelijk,O
15,toegang,O
15,van,O
15,al,O
15,kandidaat,O
15,tot,O
15,leverings-en,O
15,dienstverleningsopdracht,B
15,voor,O
15,openbaar,B
15,werken,O
15,.,O
16,aangezien,O
16,de,O
16,lidstaat,O
16,verklaren,O
16,dat,O
16,ze,O
16,het,O
16,verdrag,O
16,zullen,O
16,ondertekenen,O
16,zodra,O
16,het,O
16,hiervoor,O
16,worden,O
16,openstellen,O
16,in,O
16,merida,B
16,",",O
16,mexico,B
16,spanje,B
16,zijn,O
16,het,O
16,enig,O
16,land,O
16,van,O
16,de,O
16,eu15,B
16,die,O
16,dat,O
16,niet,O
16,doen,O
16,",",O
16,zijn,O
16,de,O
16,commissie,B
16,van,O
16,mening,O
16,dat,O
16,de,O
16,Europees,O
16,gemeenschap,O
16,dat,O
16,eveneens,O
16,dienen,O
16,te,O
16,doen,O
16,.,O
17,hiertoe,O
17,stellen,O
17,de,O
17,commissie,B
17,voor,O
17,dat,O
17,het,O
17,voorzitterschap,O
17,van,O
17,de,O
17,raad,B
17,de,O
17,persoon,O
17,zullen,O
17,aanwijzen,O
17,die,O
17,machtigen,O
17,zullen,O
17,zijn,O
17,om,O
17,het,O
17,verdrag,O
17,namens,O
17,de,O
17,Europees,O
17,gemeenschap,O
17,te,O
17,ondertekenen,O
17,.,O
18,de,O
18,raad,B
18,nemen,O
18,het,O
18,voorstel,O
18,van,O
18,de,O
18,commissie,B
18,zonder,O
18,debat,O
18,aan,O
18,.,O
19,bestrijding,O
19,van,O
19,corruptie,B
19,:,O
20,het,O
20,verdrag,O
20,hebben,O
20,tot,O
20,doel,O
20,om,O
20,:,O
20,maatregel,O
20,te,O
20,bevorderen,O
20,en,O
20,te,O
20,versterken,O
20,om,O
20,corruptie,B
20,efficiënt,O
20,en,O
20,doeltreffend,O
20,te,O
20,bestrijden,O
20,;,O
21,integriteit,B
21,",",O
21,verantwoordelijkheid,O
21,en,O
21,behoorlijk,O
21,beheer,O
21,van,O
21,openbaar,B
21,aangelegenheid,I
21,en,O
21,openbaar,O
21,eigendom,O
21,te,O
21,bevorderen,O
21,.,O
22,het,O
22,zijn,O
22,van,O
22,toepassing,O
22,op,O
22,het,O
22,voorkomen,O
22,",",O
22,onderzoeken,O
22,en,O
22,vervolgen,B
22,van,O
22,corruptie,B
22,en,O
22,het,O
22,bevriezen,B
22,",",O
22,in,B
22,beslag,I
22,nemen,I
22,",",O
22,verbeurdverklaar,B
22,en,O
22,teruggeven,O
22,van,O
22,de,O
