sentence_id,words,labels
0,dressuur,B
1,de,O
1,dressuur,B
1,zijn,O
1,de,O
1,gymnastisch,B
1,basis,O
1,van,O
1,de,O
1,paardensport,B
1,.,O
2,dressuur,B
2,betekenen,O
2,eigenlijk,O
2,het,O
2,gymnastiseren,B
2,en,O
2,het,O
2,gehoorzaam,B
2,maken,O
2,van,O
2,het,O
2,paard,B
2,door,O
2,de,O
2,ruiter,B
2,.,O
3,daarmee,O
3,zijn,O
3,het,O
3,de,O
3,basis,O
3,van,O
3,al,O
3,ander,O
3,ruitersporten,B
3,–,O
3,maar,O
3,dressuur,B
3,in,O
3,zichzelf,O
3,kunnen,O
3,ook,O
3,zeer,O
3,de,O
3,moeite,O
3,van,O
3,het,O
3,beoefenen,O
3,waard,O
3,zijn,O
3,.,O
4,training,B
5,een,O
5,paard,B
5,zijn,O
5,in,O
5,één,O
5,instantie,O
5,niet,O
5,bouwen,O
5,om,O
5,een,O
5,mens,O
5,te,O
5,dragen,B
5,en,O
5,de,O
5,ruiter,B
5,dienen,O
5,daarom,O
5,als,O
5,een,O
5,van,O
5,de,O
5,één,O
5,dingen,O
5,te,O
5,leren,O
5,onafhankelijk,O
5,in,O
5,balans,B
5,te,O
5,zitten,B
5,",",O
5,de,O
5,beweging,O
5,van,O
5,het,O
5,paard,O
5,te,O
5,volgen,O
5,en,O
5,zijn,O
5,hulp,B
5,onafhankelijk,O
5,van,O
5,elkaar,O
5,te,O
5,geven,O
5,.,O
6,dat,O
6,willen,O
6,zeggen,O
6,dat,O
6,de,O
6,ruiter,B
6,zijn,O
6,spier,B
6,afzonderlijk,O
6,van,O
6,elkaar,O
6,leren,O
6,gebruiken,O
6,en,O
6,het,O
6,paard,B
6,niet,O
6,storen,O
6,in,O
6,zijn,O
6,beweging,O
6,.,O
7,vervolgens,O
7,zijn,O
7,het,O
7,de,O
7,bedoeling,O
7,dat,O
7,het,O
7,paard,B
7,leren,O
7,zijn,O
7,lijf,O
7,fysiek,O
7,zo,O
7,correct,O
7,mogelijk,O
7,te,O
7,gebruiken,O
7,en,O
7,daarbij,O
7,plezier,O
7,in,O
7,zijn,O
7,',O
7,werk,O
7,',O
7,hebben,O
7,.,O
8,in,O
8,de,O
8,training,B
8,maken,O
8,men,O
8,gebruik,O
8,van,O
8,de,O
8,natuurlijk,O
8,beweging,O
8,van,O
8,het,O
8,paard,B
8,en,O
8,zijn,O
8,instinct,O
8,waaronder,O
8,zijn,O
8,kuddegedrag,B
8,de,O
8,ruiter,B
8,worden,O
8,de,O
8,leider,O
8,en,O
8,het,O
8,paard,O
8,volgen,O
8,en,O
8,vluchtgedrag,B
8,het,O
8,snel,O
8,maken,O
8,aan,O
8,de,O
8,ruiter,O
8,beenhulpen,O
8,leren,O
8,men,O
8,het,O
8,paard,O
8,in,O
8,één,O
8,instantie,O
8,het,O
8,paard,O
8,te,O
8,laten,O
8,',O
8,vlucht,B
8,',O
8,voor,O
8,de,O
8,ruiter,O
8,been,B
8,",",O
8,enzovoort,O
8,.,O
9,doelstelling,O
9,volgens,O
9,het,O
9,skala,B
9,de,I
9,ausbildung,I
9,klassiek,B
9,dressuur,I
10,elk,O
10,pas,B
10,worden,O
10,met,O
10,dezelfde,O
10,kracht,O
10,",",O
10,regelmaat,B
10,en,O
10,afdruk,B
10,maken,O
10,simpel,O
10,zeggen,O
10,:,O
10,al,O
10,passen,B
10,zijn,O
10,gelijk,O
10,in,O
10,hetzelfde,O
10,ritme,B
11,ontspanning,B
11,:,O
12,het,O
12,paard,B
12,ontspannen,B
12,zichzelf,O
12,zowel,O
12,mentaal,O
12,als,O
12,fysiek,O
12,.,O
13,aanleuning,B
13,:,O
14,een,O
14,constant,O
14,",",O
14,ontspannen,B
14,verbinding,B
14,van,O
14,de,O
14,achterhand,B
14,naar,O
14,de,O
14,voorhand,B
14,van,O
14,het,O
14,paard,B
14,",",O
14,terug,O
14,naar,O
14,de,O
14,hand,B
14,van,O
14,de,O
14,ruiter,B
14,simpel,O
14,zeggen,O
14,:,O
15,het,O
15,paard,B
15,geven,O
15,de,O
15,ruiter,B
15,aan,O
15,beide,O
15,teugel,B
15,dezelfde,O
15,",",O
15,ontspannen,B
15,verbinding,B
15,en,O
15,volgen,O
15,te,O
15,al,O
15,tijd,O
15,de,O
15,hand,B
15,van,O
15,de,O
15,ruiter,O
15,.,O
16,impul,B
16,:,O
17,de,O
17,voorwaarts,B
17,drang,I
17,van,O
17,het,O
17,paard,B
17,",",O
17,opgewekt,O
17,én,O
17,controleren,O
17,door,O
17,de,O
17,ruiter,B
17,simpel,O
17,zeggen,O
17,:,O
18,het,O
18,paard,B
18,geven,O
18,de,O
18,ruiter,B
18,elk,O
18,pas,B
18,het,O
18,gevoel,O
18,uit,O
18,zichzelf,O
18,voorwaarts,B
18,te,O
18,willen,O
18,in,O
18,het,O
18,tempo,B
18,dat,O
18,de,O
18,ruiter,O
18,aangeven,O
18,.,O
19,rechtgerichtheid,B
19,:,O
20,een,O
20,paard,B
20,dat,O
20,in,O
20,balans,B
20,lopen,O
20,waarbij,O
20,hij,O
20,zijn,O
20,gewicht,O
20,zowel,O
20,aan,O
20,zijn,O
20,linker-als,O
20,zijn,O
20,rechterzijde,O
20,gelijk,O
20,verdelen,O
20,en,O
20,zijn,O
20,spier,B
20,aan,O
20,beide,O
20,zijden,B
20,even,O
20,lenig,O
20,en,O
20,sterk,O
20,zijn,O
20,simpel,O
20,zeggen,O
20,:,O
21,het,O
21,paard,B
21,zijn,O
21,aan,O
21,twee,O
21,kant,O
21,gelijk,O
21,en,O
21,lopen,O
21,even,O
21,simpel,O
21,linksom,B
21,als,O
21,rechtsom,B
21,.,O
22,verzameling,B
22,:,O
23,het,O
23,gewicht,O
23,dat,O
23,het,O
23,paard,B
23,op,O
23,zijn,O
23,achterhand,B
23,dragen,B
23,.,O
24,door,O
24,het,O
24,snel,O
24,leren,O
24,optillen,O
24,van,O
24,zijn,O
24,achterbeen,B
24,en,O
24,het,O
24,onder,B
24,de,I
24,massa,B
24,te,O
24,brengen,O
24,gaan,O
24,het,O
24,paard,B
24,zijn,O
24,gewicht,O
24,veel,O
24,op,O
24,zijn,O
24,achterhand,B
24,dragen,B
24,",",O
24,de,O
24,graad,O
24,van,O
24,de,O
24,verzameling,B
24,hangen,B
24,af,O
24,van,O
24,de,O
24,scholing,B
24,van,O
24,het,O
24,paard,O
24,en,O
24,de,O
24,graad,O
24,van,O
24,africhting,B
24,simpel,O
24,zeggen,O
24,:,O
24,zijn,O
24,gewicht,O
24,in,O
24,veel,O
24,of,O
24,mindere,O
24,mate,O
24,op,O
24,de,O
24,achterhand,O
24,dragen,O
24,.,O
25,er,O
25,zijn,O
25,bijvoorbeeld,O
25,voorwaarts,B
25,drang,I
25,en,O
25,tempocontrole,O
25,impul,B
25,nodig,O
25,voor,O
25,een,O
25,goed,O
25,balans,B
25,rechtgerichtheid,B
25,",",O
25,terwijl,O
25,een,O
25,goed,O
25,balans,O
25,ervoor,O
25,zorgen,O
25,dat,O
25,het,O
25,paard,B
25,makkelijk,O
25,voorwaarts,O
25,lopen,O
25,en,O
25,zijn,O
25,tempo,B
25,kunnen,O
25,beheersen,O
25,.,O
26,dressuursport,B
27,het,O
27,beheersen,O
27,van,O
27,de,O
27,basisdressuur,B
27,worden,O
27,over,O
27,het,O
27,algemeen,O
27,zien,O
27,als,O
27,een,O
27,voorwaarde,O
27,voor,O
27,het,O
27,beoefenen,O
27,van,O
27,ander,O
27,discipline,O
27,binnen,B
27,de,O
27,paardensport,B
27,",",O
27,wat,O
27,zich,O
27,ook,O
27,uit,O
27,in,O
27,het,O
27,feit,O
27,dat,O
27,er,O
27,minimaal,O
27,één,O
27,winstpunt,B
27,nodig,O
27,zijn,O
27,in,O
27,de,O
27,dressuur,B
27,",",O
27,voordat,O
27,men,O
27,mee,O
27,mogen,O
27,doen,O
27,aan,O
27,springwedstrijd,B
27,.,O
28,land,O
28,die,O
28,sterk,O
28,in,O
28,de,O
28,discipline,O
28,dressuur,B
28,zijn,O
28,",",O
28,zijn,O
28,nederland,B
28,",",O
28,duitsland,B
28,",",O
28,spanje,B
28,",",O
28,de,O
28,verenigen,B
28,state,I
28,en,O
28,frankrijk,B
28,.,O
29,de,O
29,wereldranglijst,O
29,worden,O
29,bijhouden,O
29,door,O
29,bcm,B
29,en,O
29,het,O
29,fei,B
29,samen,O
29,",",O
29,onder,O
29,de,O
29,naam,O
29,dressage,O
29,riders,O
29,',O
29,world,O
29,rankings,O
29,list,O
29,.,O
30,nederlands,O
30,wedstrijd,B
31,bij,O
31,dressuurwedstrijd,B
31,in,O
31,nederland,B
31,beoordelen,O
31,een,O
31,jury,B
31,de,O
31,mate,O
31,van,O
31,gymnastisering,B
31,en,O
31,beheersing,O
31,van,O
31,het,O
31,paard,B
31,.,O
32,voor,O
32,wat,O
32,betreffen,O
32,de,O
32,basissport,O
32,breedtesport,B
32,gebeuren,O
32,dat,O
32,in,O
32,vier,O
32,primair,O
32,klasse,O
32,.,O
33,in,O
33,een,O
33,dressuurproef,B
33,van,O
33,de,O
33,b,O
33,tot,O
33,en,O
33,met,O
33,de,O
33,m2,B
33,kunnen,O
33,maximaal,O
33,300,O
33,punt,O
33,behalen,O
33,worden,O
33,",",O
33,in,O
33,29,O
33,handeling,O
33,.,O
34,deze,O
34,punt,O
34,worden,O
34,onderverdelen,O
34,in,O
34,de,O
34,zogenaamd,O
34,winstpunt,B
34,.,O
35,indien,O
35,er,O
35,voor,O
35,de,O
35,handeling,O
35,gemiddeld,O
35,een,O
35,6,O
35,worden,O
35,rijden,B
35,",",O
35,behalen,O
35,men,O
35,180,O
35,punt,O
35,",",O
35,dit,O
35,zijn,O
35,één,O
35,winstpunt,B
35,.,O
36,met,O
36,10,O
36,winstpunt,B
36,kunnen,O
36,men,O
36,naar,O
36,de,O
36,volgen,O
36,klasse,O
36,",",O
36,met,O
36,30,O
36,winstpunt,O
36,moten,O
36,men,O
36,door,O
36,.,O
37,deze,O
37,proef,B
37,worden,O
37,rijden,B
37,in,O
37,een,O
37,rijbaan,B
37,van,O
37,20,O
37,bij,O
37,40,O
37,meter,O
37,.,O
38,in,O
38,de,O
38,z1,B
38,en,O
38,de,O
38,z2,B
38,zijn,O
38,dit,O
38,aantal,O
38,340,O
38,punt,O
38,",",O
38,in,O
38,34,O
38,handeling,O
38,.,O
39,hier,O
39,moeten,O
39,dus,O
39,204,O
39,punt,O
39,verdienen,O
39,worden,O
39,om,O
39,een,O
39,winstpunt,B
39,te,O
39,rijden,B
39,.,O
40,deze,O
40,zwaar,O
40,proef,B
40,worden,O
40,officieel,O
40,rijden,B
40,in,O
40,een,O
40,rijbaan,B
40,van,O
40,20,O
40,bij,O
40,60,O
40,.,O
41,in,O
41,de,O
41,proef,B
41,geven,O
41,de,O
41,jury,B
41,per,O
41,handeling,O
41,een,O
41,cijfer,O
41,variëren,O
41,van,O
41,0,O
41,tot,O
41,10,O
41,.,O
42,de,O
42,nederlands,O
42,sportfederatie,O
42,voor,O
42,de,O
42,paardensport,B
42,zijn,O
42,de,O
42,koninklijk,B
42,nederlands,O
42,hippisch,B
42,sportfederatie,O
42,",",O
42,afkorten,O
42,knhs,B
42,.,O
43,vrijwel,O
43,al,O
43,wedstrijd,B
43,worden,O
43,onder,O
43,de,O
43,regel,O
43,van,O
43,deze,O
43,federatie,O
43,rijden,B
43,",",O
43,maar,O
43,er,O
43,zijn,O
43,ook,O
43,zogenaamd,O
43,onderling,O
43,wedstrijd,O
43,",",O
43,meestal,O
43,van,O
43,één,O
43,of,O
43,enkele,O
43,vereniging,O
43,of,O
43,rijschool,B
43,.,O
44,deze,O
44,wedstrijd,B
44,vallen,O
44,als,O
44,ze,O
44,in,O
44,manegeverband,B
44,rijden,B
44,worden,O
44,onder,O
44,de,O
44,federatie,B
44,nederlands,I
44,ruitersportcentrum,I
44,",",O
44,afkorten,O
44,fnr,B
44,.,O
45,er,O
45,zijn,O
45,voor,O
45,deze,O
45,wedstrijd,B
45,een,O
45,naslagwerk,O
45,"""",O
45,leer,O
45,paardrijden,B
45,met,O
45,plezier,O
45,"""",O
45,",",O
45,waarin,O
45,proef,B
45,zijn,O
45,opnemen,B
45,van,O
45,dressuur,B
45,",",O
45,caprilli,B
45,begin,O
45,van,O
45,springen,B
45,en,O
45,western,B
45,.,O
46,de,O
46,dressuurproev,B
46,bestaan,O
46,uit,O
46,proef,B
46,à,O
46,en,O
46,b,O
46,en,O
46,lopen,O
46,van,O
46,f1,B
46,t/m,O
46,f20,B
46,",",O
46,de,O
46,caprilli-proeven,O
46,lopen,O
46,van,O
46,c1,B
46,t/m,O
46,c4,B
46,en,O
46,de,O
46,westernproeven,B
46,lopen,O
46,van,O
46,w1,B
46,t/m,O
46,w10,B
46,.,O
47,daarnaast,O
47,zijn,O
47,er,O
47,speciaal,O
47,dressuurproevenboekje,B
47,verkrijgbaar,O
47,bij,O
47,ruitersportzaak,B
47,",",O
47,waarin,O
47,al,O
47,voornoemen,O
47,proef,B
47,zijn,O
47,opnemen,B
47,.,O
48,bij,O
48,de,O
48,jurering,B
48,worden,O
48,veel,O
48,op,O
48,de,O
48,ruiter,B
48,dan,O
48,de,O
48,combinatie,B
48,letten,O
48,de,O
48,combinatie,O
48,bestaan,O
48,uit,O
48,een,O
48,manegepaard,O
48,en,O
48,manegeruiter,B
48,.,O
49,er,O
49,worden,O
